Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	24.33	-59.80	-22.00	7.41	290862
1a	-16.93	-56.36	-18.00	7.29	
1b	20.89	-63.24	-50.00	7.02	
1c	10.58	-76.99	-46.00	6.96	
2	-68.50	-28.86	22.00	6.97	81651
2a	-47.87	-32.30	42.00	6.24	
2b	-61.62	12.40	2.00	5.86	
2c	-40.99	-49.49	66.00	5.84	
3	0.26	-18.55	-18.00	5.05	1796
3a	0.26	-1.36	-18.00	3.58	
3b	14.02	-8.23	-14.00	3.46	
4	10.58	5.52	6.00	4.97	3545
4a	14.02	-1.36	18.00	4.80	
4b	10.58	19.27	2.00	4.18	
4c	24.33	-1.36	10.00	4.12	
5	17.45	-21.98	-6.00	4.60	803
6	-10.05	2.08	6.00	4.60	851
7	20.89	60.53	34.00	4.36	1512
7a	31.21	63.97	22.00	3.95	
7b	17.45	67.40	26.00	3.71	
8	-61.62	8.96	30.00	4.28	709
